Average Velocity (mph),Max Velocity,Velocity Stdev,Average Acceleration (mph per s),Max Acceleration (mph per s), Acceleration Stdev,Displacement,Total Distance Traveled,Max Direction Change per sec, Direction Stdev,Time (s),Stops,Large Deceleration Events,Deceleration Events,Max Deceleration Event,Percentage Aggressive Turns,labels
22.0259863,51.47956674,16.08986748,1.181899767,6.456998838,1.773505259,4351.885666,5390.362782,59.1767005,87.84973607,549,3,1,3,-6.05011302,47.0259863,1
25.93301326,47.37004218,13.68994053,1.105177083,13.74744182,1.779481818,9764.480899,11708.81165,51.43603605,71.7038564,1011,5,3,11,-13.74744182,37.69771914,1
13.31932004,31.07066526,10.55068534,1.059752837,15.37882381,2.199846096,400.9501341,1226.884398,47.86240523,101.0835231,206,2,0,1,-13.84407664,60.81669899,1
16.5993854,41.56331921,13.93306107,1.580785942,14.47043842,2.374611871,1660.095467,3614.249163,55.1333159,96.26650426,488,6,3,10,-11.37696493,71.14483995,1
16.18250453,39.46979159,10.71952184,1.363551653,7.118496737,2.925041718,985.1407463,1904.132677,45,80.40931756,264,1,0,6,-5.705107321,53.68250453,1
23.69334929,53.78286181,15.95509446,1.451964356,13.21781871,2.082712054,5524.84321,8640.436403,99.27260178,129.9477428,817,8,4,9,-13.21781871,28.95650719,1
12.38794214,38.07011636,14.59294437,1.310943581,9.735250992,2.26531135,1410.656758,1957.016567,45.40491043,112.5108712,354,4,1,2,-8.534422031,21.47885123,0
8.221838507,20.89933205,6.665025725,0.854506905,4.062887172,1.220240872,438.4890535,731.7611363,45,95.96535308,200,2,0,1,-4.062887172,24.88850518,0
19.59853994,51.26811469,16.37199275,0.934564947,14.10823237,1.54057094,9755.440158,11106.7709,59.26129531,151.8773134,1269,8,1,11,-14.10823237,28.97353994,1
15.62506026,49.97158361,14.64531353,1.0773931,15.1348912,1.863917629,5256.909663,8265.942417,89.41470593,83.65016306,1184,13,1,18,-15.06727965,43.40283804,1
12.30937063,35.06512341,10.1029437,1.241368633,18.68014002,2.512834686,646.6756992,1222.061604,59.86266333,118.0016046,222,3,0,2,-16.34351594,45.64270396,1
17.94701744,44.21660141,14.55917128,0.976596025,9.993505361,1.516609835,5446.372894,6835.304749,62.63799556,91.27807867,853,8,0,11,-9.993505361,27.03792653,1
17.41477862,37.26554913,12.99866156,1.010952347,6.292445702,2.658007488,1419.17365,1947.342709,45,88.29449959,251,2,0,2,-5.476877922,31.70049291,1
21.93864304,48.76619419,14.5287277,1.093782345,24.75229951,2.049335088,5890.805199,9091.800006,46.93929677,95.13613251,928,11,1,8,-24.01640097,40.12046122,1
0.083213563,1.206276917,0.222846767,0.159298356,1.206276917,0.332401765,0.7,9.902931841,45,80.69204277,260,1,0,0,-1.206276917,22.27844498,0
15.92562801,43.56555263,14.29639869,0.795161213,6.72266966,1.64089451,5807.421876,7289.813289,60.9453959,83.68320445,1026,12,0,3,-6.72266966,19.62933171,0
15.31264482,41.46178887,14.22956622,0.862138601,8.654869556,1.449892099,5805.665871,8643.903332,45,129.4925578,1265,14,1,11,-8.654869556,18.76092068,0
0.114960677,1.434299829,0.270293546,0.176662668,1.434299829,0.357267608,1.555634919,22.87507726,45,76.75202446,435,1,0,0,-1.434299829,41.67516726,1
14.463594,36.50650265,13.59359856,0.823837735,5.92651846,2.293481929,1476.861212,2008.309214,45,130.6036422,312,4,0,2,-5.175909961,39.463594,1
18.61143492,50.74922565,14.97990128,1.1710371,23.5334561,2.396800412,1424.960575,3181.858981,46.85440321,129.1645262,383,4,2,5,-18.0191131,38.61143492,1
26.0148182,117.9076509,22.02912654,2.829451525,95.74136139,6.477926898,10736.4497,12387.97285,180,66.8951491,1059,11,6,17,-35.16107342,53.28754547,1
