ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude
9878952,12-04-2014 09:30,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,0,1,2,4,39,04B,1183896,1874058,2014,41.8095966,-87.60101633
7313423,01-12-2010 22:30,THEFT,OVER $500,STREET,0,0,12,25,28,6,1170443,1892718,2010,41.86110533,-87.64981486
10374717,12/27/2015 02:13:00 AM,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,0,0,2,3,38,26,,,2015,,
6003825,01-07-2008 20:00,THEFT,OVER $500,STREET,0,0,12,1,24,6,1165194,1907379,2008,41.90144935,-87.66866597
10133988,06/30/2015 08:00:00 PM,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,18,27,8,14,1172996,1908394,2015,41.90406511,-87.63997849
8710036,07/16/2012 10:30:00 PM,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,0,0,20,47,3,5,1163922,1932365,2012,41.97003929,-87.67263086
6966394,06-10-2009 11:00,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),0,0,8,13,65,7,1145727,1853720,2009,41.75459296,-87.74152854
8629797,05/25/2012 03:37:00 PM,THEFT,RETAIL THEFT,DEPARTMENT STORE,1,0,17,45,15,6,1143937,1926169,2012,41.95343636,-87.74627323
8840017,10-10-2012 08:20,BURGLARY,FORCIBLE ENTRY,RESIDENCE,0,0,18,43,7,5,1171597,1915173,2012,41.92269795,-87.64491746
7282795,12/20/2009 09:02:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,1,0,6,18,71,18,1164407,1852089,2009,41.74974426,-87.67311733
6161585,02/25/2008 12:00:00 AM,THEFT,OVER $500,STREET,0,0,14,1,24,6,1158453,1910703,2008,41.91071132,-87.69333529
8602160,05-07-2012 23:30,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,0,1,4,7,46,04A,1199204,1847001,2012,41.73497897,-87.5457791
7395950,02/18/2010 01:15:00 PM,NARCOTICS,MANU/DELIVER:COCAINE,APARTMENT,1,0,8,16,66,18,1155414,1864857,2010,41.78496626,-87.70573036
10407538,02-08-2016 10:30,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,0,0,16,45,11,5,1135887,1937001,2016,41.98330788,-87.77560698
6677473,12/26/2008 07:17:47 PM,ROBBERY,ARMED: HANDGUN,CURRENCY EXCHANGE,0,0,8,23,62,3,1150825,1867829,2008,41.79321257,-87.72247838
7947757,02/26/2011 12:40:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,3,20,42,08B,1182383,1864732,2011,41.78404051,-87.60685478
7115179,09-05-2009 11:30,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,0,0,22,34,75,5,1169243,1830118,2009,41.68934933,-87.65602956
9043860,03-12-2013 12:30,BURGLARY,FORCIBLE ENTRY,APARTMENT,0,0,4,10,51,5,1197837,1838978,2013,41.7129974,-87.5510542
9825871,10/20/2014 01:00:00 PM,THEFT,OVER $500,STREET,0,0,3,7,43,6,1193462,1857444,2014,41.76377768,-87.56647397
9534150,03/17/2014 11:40:00 AM,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,SIDEWALK,1,0,24,49,1,04A,1163987,1945235,2014,42.0053536,-87.67202644
10699392,09/29/2016 05:05:00 PM,THEFT,FROM BUILDING,"SCHOOL, PRIVATE, BUILDING",1,0,18,32,7,6,1167912,1915892,2016,41.9247513,-87.65843647
7985017,03/23/2011 08:23:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,1,0,3,20,42,18,1182456,1860755,2011,41.77312556,-87.60671035
8338727,11-02-2011 21:00,THEFT,$500 AND UNDER,RESIDENCE,0,0,19,44,6,6,1166864,1924692,2011,41.94892151,-87.66203407
10219577,08/27/2015 06:30:00 AM,THEFT,OVER $500,APARTMENT,0,0,12,2,28,6,1158925,1900589,2015,41.88294797,-87.69187912
10202222,08/19/2015 08:40:00 PM,THEFT,RETAIL THEFT,CONVENIENCE STORE,1,0,5,10,51,6,1185667,1832643,2015,41.69590816,-87.59582281
8460605,01/30/2012 07:15:00 AM,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,0,0,3,5,43,3,1189490,1857927,2012,41.76519932,-87.58101649
6495131,09/13/2008 06:00:00 AM,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,1,0,7,15,67,14,1164113,1862700,2008,41.77886851,-87.67389658
6594581,11-03-2008 10:50,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,1,0,9,3,61,18,1172208,1869517,2008,41.79740093,-87.64401931
7603687,07-12-2010 19:00,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE-GARAGE,0,0,19,44,6,14,1167376,1923045,2010,41.94439105,-87.6601996
7923514,02-09-2011 21:30,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,25,31,19,7,1143171,1919963,2011,41.93642089,-87.74924461
8359517,11/17/2011 01:30:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,6,6,44,08B,1179026,1850398,2011,41.74478365,-87.61959877
8894240,11/16/2012 09:30:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,0,1,5,34,53,08B,1173714,1821978,2012,41.66691423,-87.63990113
7397432,03-09-2010 16:45,THEFT,FROM BUILDING,LIBRARY,0,0,15,29,25,6,1138780,1902756,2010,41.88928386,-87.7658007
7875728,01-05-2011 09:00,THEFT,OVER $500,STREET,0,0,2,3,,6,1176529,1881507,2011,41.83020639,-87.62781271
10705823,10-05-2016 15:00,BATTERY,SIMPLE,SIDEWALK,0,0,25,30,21,08B,1149874,1920207,2016,41.93696248,-87.72460375
10397432,01/28/2016 09:30:00 AM,BURGLARY,FORCIBLE ENTRY,APARTMENT,0,0,3,5,43,5,1188996,1858560,2016,41.76694817,-87.58280688
6408671,08-01-2008 00:15,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,0,0,17,39,13,14,1154296,1937044,2008,41.98307698,-87.70790055
7414037,03/19/2010 06:20:00 PM,THEFT,RETAIL THEFT,SMALL RETAIL STORE,0,0,3,5,43,6,1191009,1858323,2010,41.76624939,-87.57543621
6364545,04/17/2008 12:00:00 PM,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,0,0,16,41,10,11,1129910,1936137,2008,41.98104167,-87.79760953
8958138,01-05-2013 14:30,BURGLARY,FORCIBLE ENTRY,RESIDENCE,0,0,7,16,68,5,1170991,1865447,2013,41.78625909,-87.64860108
10345763,12/13/2015 08:00:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,1,4,8,48,08B,1189400,1843988,2015,41.72695157,-87.58179259
10737363,10/30/2016 09:00:00 PM,BATTERY,SIMPLE,RESIDENCE,0,0,11,2,27,08B,1156827,1896560,2016,41.87193477,-87.69969232
7808834,11/16/2010 08:00:00 AM,BURGLARY,FORCIBLE ENTRY,APARTMENT,0,0,14,26,23,5,1154775,1911453,2010,41.9128439,-87.70682685
7528070,05/28/2010 10:30:00 AM,ASSAULT,SIMPLE,OTHER,0,0,11,28,27,08A,1154770,1899834,2010,41.88096038,-87.70715676
10140899,07-06-2015 19:52,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,1,0,7,17,67,18,1166855,1859263,2015,41.76937879,-87.66394224
6380119,07/21/2008 12:34:36 PM,CRIMINAL TRESPASS,TO LAND,RESTAURANT,1,0,1,2,33,26,1177085,1890045,2008,41.85362274,-87.62551459
7789134,11-04-2010 01:45,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,RESIDENCE PORCH/HALLWAY,1,0,11,27,23,18,1150625,1903379,2010,41.89077022,-87.72228432
9461038,01/13/2014 06:10:00 PM,BATTERY,SIMPLE,GAS STATION,0,0,11,27,23,08B,1154812,1905151,2014,41.89554991,-87.70686
8783131,09-01-2012 10:49,BURGLARY,FORCIBLE ENTRY,RESIDENCE,1,0,8,16,63,5,1160991,1867206,2012,41.79129871,-87.68521762
10622425,08-02-2016 17:15,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,1,0,11,28,27,26,1155056,1899686,2016,41.88054852,-87.70611055
9224179,07/20/2013 12:01:00 AM,BATTERY,SIMPLE,SIDEWALK,1,0,20,46,3,08B,1168735,1933270,2013,41.97241942,-87.65490699
9878276,12-03-2014 16:45,CRIMINAL DAMAGE,TO VEHICLE,RESTAURANT,0,0,25,31,19,14,1140989,1918115,2014,41.9313903,-87.75730944
7654804,08-12-2010 15:00,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,0,1,8,13,62,08B,1147348,1866086,2010,41.78849659,-87.73527284
7618678,07/21/2010 06:05:00 PM,THEFT,FROM BUILDING,RESIDENCE,0,0,22,19,75,6,1162764,1829254,2010,41.68711571,-87.67977322
8926919,12-10-2012 15:30,THEFT,FROM BUILDING,RESIDENTIAL YARD (FRONT/BACK),0,0,4,10,51,6,1195141,1838277,2012,41.71114058,-87.56095067
10403180,02-04-2016 01:15,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,1,0,25,31,19,18,1142884,1918162,2016,41.93148413,-87.75034439
8405050,11/29/2011 12:50:00 PM,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,APARTMENT,1,0,7,17,67,18,1167534,1858705,2011,41.76783304,-87.66146931
6133476,03/14/2008 02:00:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,1,19,46,3,08B,1168795,1930288,2008,41.96423542,-87.6547732
8312492,10/17/2011 09:47:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,1,6,21,71,08B,1168064,1851469,2011,41.74796511,-87.6597343
6162097,03/22/2008 07:35:00 PM,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,10,24,29,14,1155429,1894539,2008,41.86641713,-87.7048793
10246280,09/22/2015 08:05:00 PM,THEFT,FROM BUILDING,OTHER,0,0,14,1,24,6,1163644,1910678,2015,41.91053485,-87.67426617
6583808,10/30/2008 12:45:00 PM,OTHER OFFENSE,TELEPHONE THREAT,SMALL RETAIL STORE,0,0,8,15,66,26,1157663,1862719,2008,41.77905394,-87.69754245
6985091,06/23/2009 02:25:00 AM,ARSON,BY FIRE,RESIDENCE,0,0,4,8,46,9,1191911,1852725,2009,41.75086616,-87.57231163
8048175,05-04-2011 20:30,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,0,0,3,5,43,15,1188697,1860555,2011,41.77242977,-87.5838391
8313554,05/31/2011 02:00:00 AM,THEFT,$500 AND UNDER,CTA TRAIN,0,0,16,41,76,6,1100317,1935229,2011,41.9790063,-87.90646316
10671284,08/29/2016 08:00:00 AM,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,0,0,19,47,5,11,1159294,1928151,2016,41.95857253,-87.6897646
8251192,08/19/2011 01:46:00 PM,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",0,0,22,19,75,08B,1166533,1831078,2011,41.69204178,-87.66592364
9073485,04-03-2013 21:14,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,1,0,11,27,23,18,1151253,1904714,2013,41.8944213,-87.71994293
6343214,07-03-2008 13:30,THEFT,POCKET-PICKING,RESTAURANT,0,0,1,2,32,6,1174369,1899091,2008,41.87850659,-87.63521319
8950068,12/31/2012 03:30:00 AM,BURGLARY,FORCIBLE ENTRY,GROCERY FOOD STORE,0,0,16,38,15,5,1141373,1923447,2012,41.94601475,-87.75576627
8253902,09-08-2011 21:20,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,1,0,18,42,8,11,1176223,1905805,2011,41.89688859,-87.62820319
9716114,07-09-2014 12:48,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,1,0,6,21,71,18,1171495,1847363,2014,41.7366233,-87.64728198
6322119,06/23/2008 01:21:46 AM,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,0,1,8,13,64,08B,1139867,1861561,2008,41.77621872,-87.76281349
6395540,07/28/2008 05:57:00 PM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,0,0,8,13,65,14,1151860,1864545,2008,41.78418054,-87.71876917
9491090,02-08-2014 19:00,THEFT,$500 AND UNDER,STREET,0,0,6,21,71,6,1169425,1850138,2014,41.74428331,-87.65478562
6498248,09/13/2008 01:00:00 AM,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,0,0,5,9,53,26,1175132,1821683,2008,41.66607327,-87.63472042
9165434,06-07-2013 19:00,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",0,0,16,38,15,08B,1141017,1924851,2013,41.94987403,-87.75704013
10061033,05-06-2015 14:40,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,3,5,42,14,1188018,1861107,2015,41.77396072,-87.5863105
9404040,11/25/2013 08:30:00 AM,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,0,1,3,5,43,14,1189401,1859290,2013,41.76894164,-87.58129902
9274794,08/21/2013 07:00:00 PM,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,APARTMENT,0,1,25,31,19,26,1144516,1919740,2013,41.9357837,-87.74430716
7431235,03/30/2010 02:15:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,0,6,6,44,08B,1182710,1846127,2010,41.7329789,-87.60623243
7664782,08/16/2010 09:00:00 AM,THEFT,$500 AND UNDER,STREET,0,0,1,42,32,6,1176816,1900212,2010,41.88152771,-87.62619451
6140504,03/18/2008 06:10:00 PM,ROBBERY,ARMED: HANDGUN,SIDEWALK,0,0,9,3,37,3,1175361,1875330,2008,41.8132824,-87.632283
7547061,06-08-2010 07:15,THEFT,FROM BUILDING,RESIDENCE,0,1,3,20,42,6,1185287,1863911,2010,41.7817198,-87.59623356
8651854,06-09-2012 21:00,BATTERY,SIMPLE,RESIDENCE,0,0,7,17,67,08B,1165858,1859402,2012,41.76978146,-87.66759285
